"","activity_id","npdes_id","version_nmbr","perm_feature_id","perm_feature_nmbr","perm_feature_type_code","perm_feature_type_desc","limit_set_id","limit_set_schedule_id","limit_id","limit_type_code","limit_begin_date","limit_end_date","nmbr_of_submission","parameter_code","parameter_desc","monitoring_location_code","monitoring_location_desc","stay_type_code","stay_type_desc","limit_value_id","limit_value_type_code","limit_value_type_desc","limit_value_nmbr","limit_unit_code","limit_unit_desc","standard_unit_code","standard_unit_desc","limit_value_standard_units","statistical_base_code","statistical_base_short_desc","statistical_base_type_code","statistical_base_type_desc","limit_value_qualifier_code","stay_value_nmbr","dmr_event_id","monitoring_period_end_date","dmr_form_value_id","value_type_code","value_type_desc","dmr_value_id","dmr_value_nmbr","dmr_unit_code","dmr_unit_desc","dmr_value_standard_units","dmr_value_qualifier_code","value_received_date","days_late","nodi_code","nodi_desc","exceedence_pct","npdes_violation_id","violation_code","violation_desc","rnc_detection_code","rnc_detection_desc","rnc_detection_date","rnc_resolution_code","rnc_resolution_desc","rnc_resolution_date","violation_severity"
"1","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3401774175","01/31/2015","3445802578","C3","Concentration3","3605030855","15.8","04","deg C","15.8","=","02/26/2015","","","","","","","","","","","","","","No Violation Identified"
"2","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3401774201","02/28/2015","3445802584","C3","Concentration3","3605974497","17.2","04","deg C","17.2","=","03/30/2015","","","","","","","","","","","","","","No Violation Identified"
"3","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3401774218","03/31/2015","3445802590","C3","Concentration3","3607108688","18.6","04","deg C","18.6","=","04/28/2015","","","","","","","","","","","","","","No Violation Identified"
"4","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3401774249","04/30/2015","3445802597","C3","Concentration3","3608187423","17","04","deg C","17","=","05/28/2015","","","","","","","","","","","","","","No Violation Identified"
"5","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3401774272","05/31/2015","3445802604","C3","Concentration3","3609052208","17.7","04","deg C","17.7","=","06/29/2015","","","","","","","","","","","","","","No Violation Identified"
"6","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3401774280","06/30/2015","3445802611","C3","Concentration3","3609898619","21","04","deg C","21","=","07/23/2015","","","","","","","","","","","","","","No Violation Identified"
"7","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3403697056","07/31/2015","3445802618","C3","Concentration3","3611484677","21.9","04","deg C","21.9","=","08/27/2015","","","","","","","","","","","","","","No Violation Identified"
"8","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3403697057","08/31/2015","3445802653","C3","Concentration3","3612689025","21.6","04","deg C","21.6","=","09/29/2015","","","","","","","","","","","","","","No Violation Identified"
"9","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3403697058","09/30/2015","3445802688","C3","Concentration3","3614074067","19.4","04","deg C","19.4","=","10/29/2015","","","","","","","","","","","","","","No Violation Identified"
"10","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3403697059","10/31/2015","3445802723","C3","Concentration3","3615170810","19.6","04","deg C","19.6","=","11/30/2015","","","","","","","","","","","","","","No Violation Identified"
"11","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3403697060","11/30/2015","3445802758","C3","Concentration3","3616136692","18.7","04","deg C","18.7","=","12/28/2015","","","","","","","","","","","","","","No Violation Identified"
"12","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3403697061","12/31/2015","3445802793","C3","Concentration3","3617726010","16.5","04","deg C","16.5","=","01/28/2016","","","","","","","","","","","","","","No Violation Identified"
"13","3400211053","CA0078956","0","3400082617","001","EXO","External Outfall","3400125499","3400210500","3401204574","ENF","04/27/2014","02/01/2019","1","00010","Temperature, water deg. centigrade","1","Effluent Gross","","","3401867260","C3","Concentration3","","04","deg C","04","deg C","","IA","INST MAX","MAX","Maximum","","","3403697062","01/31/2016","3445802828","C3","Concentration3","3619147755","14.4","04","deg C","14.4","=","02/29/2016","","","","","","","","","","","","","","No Violation Identified"
